time,all/day,foreign/day,china/day??all-foreign??,totalforeign
2020/3/4,139,2,137,20
2020/3/5,143,16,127,36
2020/3/6,99,24,75,60
2020/3/7,44,3,41,63
2020/3/8,40,4,36,67
2020/3/9,19,2,17,69
2020/3/10,24,10,14,79
2020/3/11,15,6,9,85
2020/3/12,8,3,5,88
2020/3/13,11,7,4,95
2020/3/14,20,16,4,111
2020/3/15,16,12,4,123
2020/3/16,21,20,1,143
2020/3/17,13,12,1,155
2020/3/18,34,34,0,189
2020/3/19,39,39,0,228
2020/3/20,41,41,0,269
2020/3/21,46,45,1,314
2020/3/22,39,39,0,353
2020/3/23,78,74,4,427
2020/3/24,47,47,0,474
2020/3/25,67,67,0,541
2020/3/26,55,54,1,595
2020/3/27,54,54,0,649
2020/3/28,45,44,1,693
2020/3/29,31,30,1,723
2020/3/30,48,48,0,771
2020/3/31,36,35,1,806
2020/4/1,35,35,0,841
2020/4/2,31,29,2,870
2020/4/3,19,18,1,888
2020/4/4,30,25,5,913
2020/4/5,39,38,1,951
2020/4/6,32,32,0,983
2020/4/7,62,59,3,1042
2020/4/8,63,61,2,1103
2020/4/9,42,38,4,1141
2020/4/10,46,42,4,1183
2020/4/11,99,97,2,1280
2020/4/12,108,98,10,1378
2020/4/13,89,86,3,1464
2020/4/14,46,36,10,1500
2020/4/15,46,34,12,1534
2020/4/16,26,15,11,1549
2020/4/17,27,17,10,1566
2020/4/18,16,9,7,1575
2020/4/19,12,8,4,1583
2020/4/20,11,4,7,1587
2020/4/21,30,23,7,1610
2020/4/22,10,6,4,1616
2020/4/23,6,2,4,1618
2020/4/24,12,11,1,1629
2020/4/25,11,5,6,1634
2020/4/26,3,2,1,1636
2020/4/27,6,3,3,1639
2020/4/28,22,21,1,1660
2020/4/29,4,4,0,1664
2020/4/30,12,6,6,1670
2020/5/1,1,1,0,1671
2020/5/2,2,1,1,1672
2020/5/3,3,3,0,1675
2020/5/4,1,1,0,1676
2020/5/5,2,2,0,1678
2020/5/6,2,2,0,1680
2020/5/7,1,0,1,1680
2020/5/8,1,1,0,1681
2020/5/9,14,2,12,1683
2020/5/10,17,7,10,1690
2020/5/11,1,1,0,1691
2020/5/12,7,1,6,1692
2020/5/13,3,0,3,1692
2020/5/14,4,0,4,1692
2020/5/15,8,6,2,1698
2020/5/16,5,2,3,1700
2020/5/17,7,4,3,1704
2020/5/18,6,3,3,1707
2020/5/19,5,1,4,1708
2020/5/20,2,1,1,1709
2020/5/21,4,2,2,1711
2020/5/22,0,0,0,1711
2020/5/23,3,2,1,1713
2020/5/24,11,11,0,1724
2020/5/25,7,7,0,1731
2020/5/26,1,1,0,1732
2020/5/27,2,2,0,1734
2020/5/28,0,0,0,1734
2020/5/29,4,4,0,1738
2020/5/30,2,2,0,1740
2020/5/31,16,16,0,1756
2020/6/1,5,5,0,1761
2020/6/2,1,1,0,1762
2020/6/3,1,1,0,1763
2020/6/4,5,5,0,1768
2020/6/5,3,3,0,1771
2020/6/6,6,5,1,1776
2020/6/7,4,4,0,1780
2020/6/8,3,3,0,1783
2020/6/9,3,3,0,1786
2020/6/10,11,11,0,1797
2020/6/11,7,6,1,1803
2020/6/12,11,5,6,1808
2020/6/13,57,19,38,1827
2020/6/14,49,10,39,1837
