date,预测值,境外输入累计
1,47.40322366,18
2,53.18935945,20
3,59.65769051,36
4,66.88247459,60
5,74.94448124,63
6,83.93115735,67
7,93.93667789,69
8,105.0618454,79
9,117.4137962,85
10,131.1054648,88
11,146.2547558,95
12,162.9833656,111
13,181.4152013,123
14,201.6743417,143
15,223.8825002,155
16,248.1559591,189
17,274.6019735,228
18,303.3146713,269
19,334.3705186,314
20,367.8234719,353
21,403.6999896,427
22,441.9941375,474
23,482.663073,541
24,525.623235,595
25,570.7475871,649
26,617.8642533,963
27,666.7568391,723
28,717.1666517,771
29,768.7969093,806
30,821.3188874,841
31,874.3797877,870
32,927.6119617,888
33,980.6429941,913
34,1033.106066,951
35,1084.649987,983
36,1134.948332,1042
37,1183.707178,1103
38,1230.671104,1141
39,1275.627238,1183
40,1318.40732,1280
41,1358.88788,1378
42,1396.988749,1464
43,1432.670202,1500
44,1465.929084,1534
45,1496.794248,1549
46,1525.321643,1566
47,1551.589332,1575
48,1575.692659,1583
49,1597.739751,1587
50,1617.847452,1610
51,1636.137772,1616
